rank,channel_name,channel_url,score,seed_coverage_pct,seed_appearances,total_occurrences,average_rank,best_rank,discounted_rank_score,sample_videos
1,スマホ博士,,92.8,90.0,18,26,9.81,1,11.0507,"【緊急】スマホ新法よりヤバい...Googleの新しい規約変更、これ無視したら高額請求届きます！今すぐ対応して！ | 【知らないと損】充電と個人情報を""同時に""奪う設定はコレ…切れば2倍長持ち＋監視も全て止まります。"
2,高須幹弥（高須クリニック）,,90.22,90.0,18,20,6.5,1,10.0314,私がアレン様についてどう思っているか正直に話します | 大食い系YouTuber、フードファイターが痩せている本当の理由
3,KO with Style,,71.62,80.0,16,16,9.5,2,5.5327,人々は木村モナを嘲笑していた…残酷なKOが始まるまでは。
4,ぽりんき-注文住宅の家づくり攻略法-,,57.56,65.0,13,14,11.0,3,4.248,冷静に考えれば気づいたはず…買ってはいけない土地 7選 | 数年前には大人気だったのに今は選ばれない…？消えゆく設備と間取り10選
5,後藤PC塾:プロが伝えるパソコン教室,,56.66,60.0,12,12,6.58,1,5.3111,【7月30日まで】なぜ今Googleが規約変更を行うのか？本当の理由と対策方法を徹底解説！【無視するとどうなる？】
6,井川意高が熔ける日本を斬る,,47.63,55.0,11,11,11.64,6,3.17,佐藤二朗と橋本愛の「爆弾ハラスメント」フジテレビと橋本が圧倒的に悪いでしょ
7,脱・税理士スガワラくん,,45.29,50.0,10,12,10.83,3,3.6669,"今年最大の負債1,259憶円…全東信が破産した理由と今後起こり得る最悪の事態について解説します。 | 売り上げ規模491億円の企業が不正！税優遇を受けるために所得を大幅隠し…対策を立案しました。 | 確実に地獄を見る…バレるので絶対やめて！重加算税・延滞税で大変なことになる"
8,パソコン博士TAIKI,,44.22,45.0,9,9,4.67,1,4.6652,【7月30日まで】Google 大幅に利用規約変更 ！絶対無視するな！
9,ユジックの手品教室,,44.05,45.0,9,9,5.33,1,4.5989,超能力の闇を暴く！ジワジワ曲がるスプーン曲げ【種明かし】 | ついに解禁⁉︎コインに針が貫通するマジック【種明かし】
10,元ベンツ営業,,43.55,50.0,10,10,11.0,4,2.9779,なぜ、街にレクサスやベンツが溢れてる？【平均年収478万の日本】みんな本当に金持ちなのか？#bmw #アウディ #nx #rx #lbx #glc #glb #cクラス #3シリーズ #x1 #x3
11,【公式】竹田恒泰チャンネル 2,,38.95,45.0,9,9,12.11,5,2.585,【習近平に感謝？？】中国が太平洋にミサイル発射も、実は日本にとって「ありがたい」大チャンスである理由｜竹田恒泰チャンネル2
12,海外の感動話,,38.14,45.0,9,9,15.56,8,2.2659,離婚したその日。私は北海道への旅へ。彼は分娩室の前で愛人に付き添っていた。医師の一言――彼はその場で崩れ落ちた。
13,ひろし先生の家庭の遺伝学〜医師が言わない真実〜,,36.36,40.0,8,8,7.25,2,2.9837,ダウン症の寿命が延びて初めてわかった、アルツハイマーの現実
14,964万7千分の一,,34.53,40.0,8,8,12.62,5,2.2607,【出産時の発病で夫を忘れてしまった妻】障害者になった妻と娘を介護する父の1日 supoorted by 聖礼会 #聖礼会 #ジャパンバリアフリープロジェクト #共生社会 #障害 #障がい #愛 #
15,職人社長の家づくり工務店,,32.18,30.0,6,6,3.5,1,4.1759,夏の電気代対策エアコンの「自動」ボタン1つで半額 節約術を大公開 | 知らないと毎日後悔するエアコンの電気代を激減させる裏技TOP5！
16,岡田斗司夫マインド【サイコパス】,,30.54,30.0,6,6,4.83,1,3.5297,『僕の仕事はもう終わりました』68歳を迎えた岡田斗司夫から皆さんへの大切なメッセージ【岡田斗司夫 切り抜き サイコパス】
17,糖尿病の専門家,,29.98,35.0,7,7,12.86,7,1.8875,【なぜ報道しない!?】無糖炭酸水+⚪︎⚪︎⚪︎⚪︎の効果！今すぐ飲んでください！！！！！【糖尿病専門クリニック現役医師】
18,ゆっくり事故検証,,29.76,35.0,7,7,15.0,8,1.7996,完璧に着陸したカプセルの中で絶命していた3人の宇宙飛行士。20年以上隠蔽されたソユーズ11号減圧事故の真相【ゆっくり解説】
19,China Observer,,28.82,30.0,6,11,14.27,8,2.8478,中国を襲う暴風・豪雨・地震・洪水！豆腐カス工事のビル、橋、ダムが崩壊 | 超大型台風バヴィが中国を直撃！上海から100万人が避難、パニック状態の群衆が駅と空港を埋め尽くす
