rank,channel_name,channel_url,score,seed_coverage_pct,seed_appearances,total_occurrences,average_rank,best_rank,discounted_rank_score,sample_videos
1,職人社長の家づくり工務店,https://www.youtube.com/@hiramatsukenchiku,100.0,100.0,3,5,3.4,1,3.0629,夏の電気代対策エアコンの「自動」ボタン1つで半額 節約術を大公開 | 知らないと毎日後悔するエアコンの電気代を激減させる裏技TOP5！
2,三橋TV,https://www.youtube.com/@mitsuhashipress,60.68,66.67,2,2,3.0,1,1.3869,反積極財政プロパガンダに抗え！日本の財政主権は日本国民が持っている[三橋TV第1200回]三橋貴明・菅沢こゆき
3,THE FIRST TAKE、T.M.Revolution,https://www.youtube.com/@The_FirstTake,56.81,66.67,2,2,4.5,2,0.9643,T.M.Revolution - HOT LIMIT / THE FIRST TAKE
4,脱・税理士スガワラくん,https://www.youtube.com/@datu-sugawara,54.58,66.67,2,2,7.0,4,0.7197,【最新】物価高で老後資金が足りない…食費・光熱費が2割アップで年金が全然足りない!? | どんなに優秀でも絶対に採用するな！モンスター社員の特徴について解説します。
5,Okチャンネル【おけたに整骨院】,https://www.youtube.com/@ok.channel,54.51,66.67,2,2,6.0,6,0.7124,脳梗塞で倒れた人が「前日にしていた行動」ワースト5
6,MBC南日本放送,https://www.youtube.com/@KagoshimaMBC,54.29,66.67,2,2,7.0,5,0.6879,100年以上前に渡米した祖父のルーツ求め…米国の男性（72）鹿児島へ 手がかりは写真1枚と名前のみ「祖父が私を助けてくれた」(MBCニューズナウ 2026年7月16日放送）
7,ニューヨーク Official Channel,https://www.youtube.com/@newyorkchannel,33.14,33.33,1,1,1.0,1,1.0,【よしもとコレカ開封】緊急で 7th Edition を開封したら最高と最悪のカードを引いてしまいました
8,後藤PC塾:プロが伝えるパソコン教室,https://www.youtube.com/@gotopc,31.19,33.33,1,2,5.0,4,0.7869,【YouTube】実は危険なプライバシー設定！今すぐ設定をオフにしよう【個人情報漏洩】 | 【7月30日まで】なぜ今Googleが規約変更を行うのか？本当の理由と対策方法を徹底解説！【無視するとどうなる？】
9,ユジックの手品教室,https://www.youtube.com/@yugic,28.57,33.33,1,1,3.0,3,0.5,ついに解禁⁉︎コインに針が貫通するマジック【種明かし】
10,NewsPicks /ニューズピックス,https://www.youtube.com/@NewsPicks,28.57,33.33,1,1,3.0,3,0.5,【一番簡単】無料メモツールと混ぜるだけ。あなた専用「第二の脳」全レシピ（Obsidian／Claude Code／Claudian／プラグイン）
11,「カーメン君」ガーデンチャンネル,https://www.youtube.com/@Kahmen-Gardening,27.94,33.33,1,1,4.0,4,0.4307,【もう蚊が来ない】 びっくりするくらい蚊が寄ってきません 【カーメン君】【園芸】【ガーデニング】【初心者】
12,梅子の年金トーク!,https://www.youtube.com/@nenkin-talk,27.54,33.33,1,1,5.0,5,0.3869,【年金いくら？】４２年間１円も年金納めず…計画的無年金者62歳の年金インタビュー
13,さとう式リンパケア 〜1日5分で幸せ美人に〜,https://www.youtube.com/@sato_lymph,27.05,33.33,1,1,7.0,7,0.3333,"【危険】首をまわして""この音""が聞こえる人...血管が詰まる前兆です！首こり・肩こりを一瞬で解消するリンパケアを紹介します（血管、脳梗塞）"
14,Deividcat、Decathlon España,https://www.youtube.com/@Deividcat,27.05,33.33,1,1,7.0,7,0.3333,"Vivac de Verano SOLO con material de Decathlon (Serpientes, Escorpiones y Mosquitos)"
15,おーちゃんねる,https://www.youtube.com/@Ohchan_ch,26.88,33.33,1,1,8.0,8,0.3155,オニヤンマにオオスズメバチを近づけると...
16,TBS NEWS DIG Powered by JNN,https://www.youtube.com/@tbsnewsdig,26.88,33.33,1,1,8.0,8,0.3155,「生きていたら何とかなる」特別な才能の一方で困難も…“2Eギフテッド”が抱える生きづらさ【報道特集】
17,電ファミ公式チャンネル,https://www.youtube.com/@denfami,26.88,33.33,1,1,8.0,8,0.3155,「日本とセガはいつまでも大切な存在」NVIDIAのCEO ジェンスン・フアン氏がセガとの思い出を語る。イベント現地映像をお届け。
18,テレ東BIZ ダイジェスト,https://www.youtube.com/@tvtokyobiz,26.75,33.33,1,1,9.0,9,0.301,女性は天皇になれないのか？日本の皇位継承と皇室典範改正【豊島晋作のテレ東ワールドポリティクス】
19,Nhất Daily Farm,https://www.youtube.com/@NhatDailFarm,26.64,33.33,1,1,10.0,10,0.2891,Timelapse - Catching Fresh Fish & Cooking Over Campfire | Solo Bushcraft
20,ReHacQ−リハック−【公式】,https://www.youtube.com/@rehacq,26.64,33.33,1,1,10.0,10,0.2891,【高橋弘樹vs伊勢谷友介】俳優として成功していた中での大麻使用…一体なぜ!? 社会・未来への期待を諦め…俳優を続ける理由【ReHacQ】
